id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2023-历史-10001-202-1,2023,广东,历史,普通类本科批次,10001,北京大学,202,,,670,31,24,投档人数:24,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10002-201-2,2023,广东,历史,普通类本科批次,10002,中国人民大学,201,,,653,149,53,投档人数:53,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10003-201-3,2023,广东,历史,普通类本科批次,10003,清华大学,201,,,674,14,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10004-201-4,2023,广东,历史,普通类本科批次,10004,北京交通大学,201,,,598,3640,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10004-202-5,2023,广东,历史,普通类本科批次,10004,北京交通大学,202,,,602,3143,9,投档人数:9,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10006-201-6,2023,广东,历史,普通类本科批次,10006,北京航空航天大学考,201,,,626,999,7,投档人数:7,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10007-201-7,2023,广东,历史,普通类本科批次,10007,北京理工大学,201,,,613,1910,12,投档人数:12,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10010-201-8,2023,广东,历史,普通类本科批次,10010,北京化工大学,201,,,584,5950,13,投档人数:13,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10012-201-9,2023,广东,历史,普通类本科批次,10012,北京服装学院,201,,,531,23040,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10015-201-10,2023,广东,历史,普通类本科批次,10015,北京印刷学院,201,,,540,19058,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10019-205-11,2023,广东,历史,普通类本科批次,10019,中国农业大学(中外合作办学),205,,,596,3919,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10022-201-12,2023,广东,历史,普通类本科批次,10022,北京林业大学,201,,,577,7400,22,投档人数:22,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10022-202-13,2023,广东,历史,普通类本科批次,10022,北京林业大学,202,,,592,4588,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10026-201-14,2023,广东,历史,普通类本科批次,10026,省北京中医药大学,201,,,581,6509,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10027-201-15,2023,广东,历史,普通类本科批次,10027,北京师范大学,201,,,642,390,17,投档人数:17,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10027-208-16,2023,广东,历史,普通类本科批次,10027,北京师范大学,208,,,635,629,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10028-201-17,2023,广东,历史,普通类本科批次,10028,首都师范大学,201,,,588,5109,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10028-202-18,2023,广东,历史,普通类本科批次,10028,首都师范大学,202,,,588,5106,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10029-201-19,2023,广东,历史,普通类本科批次,10029,首都体育学院,201,,,538,19960,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10030-202-20,2023,广东,历史,普通类本科批次,10030,北京外国语大学,202,,,608,2441,18,投档人数:18,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10030-203-21,2023,广东,历史,普通类本科批次,10030,北京外国语大学,203,,,620,1359,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10031-201-22,2023,广东,历史,普通类本科批次,10031,北京第二外国语学院教,201,,,579,7007,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10031-202-23,2023,广东,历史,普通类本科批次,10031,北京第二外国语学院,202,,,561,11480,14,投档人数:14,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10031-203-24,2023,广东,历史,普通类本科批次,10031,北京第二外国语学院,203,,,580,6730,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10032-201-25,2023,广东,历史,普通类本科批次,10032,北京语言大学,201,,,581,6480,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10032-202-26,2023,广东,历史,普通类本科批次,10032,北京语言大学,202,,,579,7001,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10032-203-27,2023,广东,历史,普通类本科批次,10032,北京语言大学,203,,,603,3011,1,投档人数:1,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10033-202-28,2023,广东,历史,普通类本科批次,10033,中国传媒大学,202,,,603,2913,18,投档人数:18,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10033-204-29,2023,广东,历史,普通类本科批次,10033,中国传媒大学(中外合作办学),204,,,605,2720,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10034-202-30,2023,广东,历史,普通类本科批次,10034,中央财经大学,202,,,614,1806,34,投档人数:34,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10036-201-31,2023,广东,历史,普通类本科批次,10036,对外经济贸易大学,201,,,613,1904,38,投档人数:38,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10037-201-32,2023,广东,历史,普通类本科批次,10037,北京物资学院,201,,,531,23015,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10038-201-33,2023,广东,历史,普通类本科批次,10038,首都经济贸易大学,201,,,574,8105,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10043-201-34,2023,广东,历史,普通类本科批次,10043,北京体育大学,201,,,573,8334,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10043-208-35,2023,广东,历史,普通类本科批次,10043,北京体育大学(中外合作办学),208,,,501,39343,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10043-211-36,2023,广东,历史,普通类本科批次,10043,北京体育大学,211,,,571,8867,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10047-201-37,2023,广东,历史,普通类本科批次,10047,中央美术学院,201,,,606,2645,1,投档人数:1,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10048-201-38,2023,广东,历史,普通类本科批次,10048,中央戏剧学院,201,,,572,8502,18,投档人数:18,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10049-201-39,2023,广东,历史,普通类本科批次,10049,中国戏曲学院,201,,,557,12737,5,投档人数:5,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10050-201-40,2023,广东,历史,普通类本科批次,10050,北京电影学院,201,,,583,6150,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10052-201-41,2023,广东,历史,普通类本科批次,10052,中央民族大学,201,,,604,2871,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10052-202-42,2023,广东,历史,普通类本科批次,10052,中央民族大学,202,,,604,2858,29,投档人数:29,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10053-201-43,2023,广东,历史,普通类本科批次,10053,中国政法大学,201,,,612,2031,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10053-202-44,2023,广东,历史,普通类本科批次,10053,中国政法大学,202,,,608,2416,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10053-203-45,2023,广东,历史,普通类本科批次,10053,中国政法大学,203,,,621,1334,53,投档人数:53,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
gd-2023-历史-10053-204-46,2023,广东,历史,普通类本科批次,10053,中国政法大学,204,,,613,1962,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:05.816243+00:00,2026-07-02T03:57:05.816243+00:00
