id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_type,source_name,source_url,source_updated_at,created_at,updated_at
js-2025-history-0306-01-1,2025,江苏,history,普通类本科批次平行志愿,0306,中国民用航空飞行学院,01,,(不限),554,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-0306-02-2,2025,江苏,history,普通类本科批次平行志愿,0306,中国民用航空飞行学院,02,,(思想政治),561,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1101-03-3,2025,江苏,history,普通类本科批次平行志愿,1101,南京大学,03,,(不限),643,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1102-03-4,2025,江苏,history,普通类本科批次平行志愿,1102,东南大学,03,,(不限),636,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1103-01-5,2025,江苏,history,普通类本科批次平行志愿,1103,南京航空航天大学,01,,(不限),614,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1104-01-6,2025,江苏,history,普通类本科批次平行志愿,1104,南京理工大学,01,,(不限),610,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1105-01-7,2025,江苏,history,普通类本科批次平行志愿,1105,河海大学,01,,(不限),609,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1105-02-8,2025,江苏,history,普通类本科批次平行志愿,1105,河海大学,02,,(不限),603,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1105-03-9,2025,江苏,history,普通类本科批次平行志愿,1105,河海大学,03,,(思想政治),607,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1106-01-10,2025,江苏,history,普通类本科批次平行志愿,1106,南京信息工程大学,01,,(不限),588,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1106-02-11,2025,江苏,history,普通类本科批次平行志愿,1106,南京信息工程大学,02,,(思想政治),596,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1106-03-12,2025,江苏,history,普通类本科批次平行志愿,1106,南京信息工程大学,03,,(不限)(中外合作办学),569,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1107-01-13,2025,江苏,history,普通类本科批次平行志愿,1107,南京农业大学,01,,(不限),595,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1108-05-14,2025,江苏,history,普通类本科批次平行志愿,1108,南京师范大学,05,,(不限),629,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1108-06-15,2025,江苏,history,普通类本科批次平行志愿,1108,南京师范大学,06,,(不限),623,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1108-07-16,2025,江苏,history,普通类本科批次平行志愿,1108,南京师范大学,07,,(不限),624,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1108-08-17,2025,江苏,history,普通类本科批次平行志愿,1108,南京师范大学,08,,(不限),604,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-history-1108-09-18,2025,江苏,history,普通类本科批次平行志愿,1108,苏南京师范大学,09,,(不限)(高校中外学分互认联合培养项目),574,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-380724-1917118608.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
